species,model_ID,model,threshold,thr_value,n_presences,n_absences,TPR_mean,TPR_sd,TNR_mean,TNR_sd,SORENSEN_mean,SORENSEN_sd,JACCARD_mean,JACCARD_sd,FPB_mean,FPB_sd,OR_mean,OR_sd,TSS_mean,TSS_sd,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd,n.trees,shrinkage,n.minobsinnode,size,decay,mtry,C,sigma,regmult,classes,used_in_meanthr
Abies concolor,7,svm,max_sens_spec,0.47984668,6090,6622,0.8624838797729213,0.13892127273298863,0.7714470656665451,0.03605053924042243,0.8139718207616884,0.08621562240852007,0.6925544841483329,0.11471005586048472,1.3851089682966655,0.22942011172096943,0.13751612022707868,0.13892127273298863,0.6339309454394664,0.16250101362598632,0.874893000539247,0.07256499158455314,0.9665881322626992,0.02780865985682017,0.7566897534672539,0.0797251228515532,NA,NA,NA,NA,NA,NA,22,0.051,NA,NA,y
Abies magnifica,1,meanw,max_sens_spec,0.18231902,2013,5994,0.9389399742445086,0.01298359532738344,0.8502467870145978,0.07534237026950447,0.7870729246547378,0.05725887031427501,0.6516395564541008,0.07731680777928121,1.3032791129082015,0.15463361555856242,0.06106002575549138,0.01298359532738344,0.7891867612591064,0.08528892644609576,0.9486120213632712,0.03318708346648449,0.8789068218036982,0.1241038601427238,0.8468023054064703,0.05322667719895155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies magnifica,1,meanthr,max_sens_spec,0.10305164,2013,5994,0.9029677319906156,0.01941011059497336,0.881259206484772,0.06765656338568626,0.8016278414803018,0.06238629669342863,0.6722939892324253,0.08620223283001414,1.344587978464851,0.1724044656600283,0.0970322680093844,0.01941011059497336,0.7842269384753875,0.08425843891524401,0.9284751076767412,0.03475177666056607,0.8030878468057283,0.2102121956309365,0.8655337997323115,0.05062272562880049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies magnifica,1,mean,max_sens_spec,0.18137041,2013,5994,0.9393629860888404,0.01279564413493982,0.8498054746152641,0.07589054440065077,0.7869308448617878,0.05760740273635781,0.6514771245878462,0.07772102957237906,1.3029542491756925,0.15544205914475812,0.06063701391115975,0.01279564413493982,0.7891684607041044,0.08568793873509092,0.9485415483616856,0.0332115607775785,0.8791491199143295,0.12343483947433533,0.8467329364445124,0.05326109641762785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies magnifica,1,meansup,max_sens_spec,0.20510808,2013,5994,0.9148448371549258,0.03695869675886761,0.8774542490847853,0.05756319758622812,0.7992295830582172,0.05003934188988777,0.6677214258762925,0.06797910879772627,1.335442851752585,0.13595821759545254,0.08515516284507424,0.03695869675886761,0.792299086239711,0.08270692959568877,0.9490292098750964,0.03197152957612971,0.880740891734427,0.09453307449237323,0.8507083016907431,0.05193855241543558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies magnifica,1,median,max_sens_spec,0.16124104,2013,5994,0.931013842538338,0.01001393717050448,0.8579541441922797,0.08007530517055857,0.7921772017819808,0.05864823401591194,0.6587636562914281,0.07943515735423469,1.3175273125828562,0.15887031470846938,0.06898615746166195,0.01001393717050448,0.7889679867306177,0.07940766801552529,0.947364539976328,0.03291722415930953,0.8640012360033904,0.1688465471420693,0.8535806676035548,0.05503946276567086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies magnifica,2,gam,max_sens_spec,0.27666999,2013,5994,0.9344640500377592,0.00933955238720829,0.8419237800925502,0.06323532856790534,0.7731352380556926,0.04006723808858711,0.6314600554584037,0.05262329150612473,1.2629201109168071,0.10524658301224946,0.06553594996224074,0.00933955238720829,0.7763878301303094,0.06918680102796164,0.9419174936884934,0.0291032450105724,0.9080415612282876,0.07197392185005433,0.8566159078747297,0.05123358490429376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies magnifica,3,gbm,max_sens_spec,0.28988724,2013,5994,0.941146662147882,0.02377201840945892,0.8395928442231165,0.06129768344176844,0.7725874014776244,0.03740625111732283,0.6305543922268788,0.04859075089558238,1.2611087844537576,0.09718150179116476,0.05885333785211799,0.02377201840945892,0.7807395063709985,0.07185158356056362,0.9414691896372016,0.03294090586087261,0.8716885808894994,0.14118733314830104,0.8414268526713455,0.04859751710542272,110,0.30000000000000004,9,NA,NA,NA,NA,NA,NA,NA,y
Abies magnifica,4,glm,max_sens_spec,0.24393636,2013,5994,0.9261010040740716,0.03959964284378974,0.8520506064692621,0.07038321460601127,0.7802853863395752,0.06121623988581955,0.6428010587527123,0.08166393492053513,1.2856021175054246,0.16332786984107026,0.07389899592592844,0.03959964284378974,0.7781516105433337,0.10128765704367684,0.9426963351111656,0.03226129742533051,0.915438548317321,0.06350586157392198,0.8542816246267639,0.05817680389684056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Abies magnifica,5,net,max_sens_spec,0.26266982,2013,5994,0.9124012499342258,0.02309623050881033,0.8812394456876216,0.06768432816017608,0.8063181757416618,0.05700682400071923,0.6783718439141251,0.08052590871994292,1.3567436878282502,0.16105181743988584,0.08759875006577425,0.02309623050881033,0.7936406956218472,0.07396490508764907,0.9404839842959716,0.03019663394761728,0.7749033323864721,0.23555241530662815,0.8504645279685055,0.05041524910240538,NA,NA,NA,10,0.91,NA,NA,NA,NA,NA,y
Abies magnifica,6,raf,max_sens_spec,0.592,2013,5994,0.8987683694090548,0.04027801837851762,0.8615350527959903,0.05759654649854161,0.7739627138211068,0.05728349036661209,0.6338472713090139,0.0735138967875335,1.2676945426180275,0.147027793575067,0.10123163059094524,0.04027801837851762,0.7603034222050451,0.09783726263482408,0.9342055017889472,0.04443321751686095,0.9162463091881272,0.09204771790475597,0.8309733139446973,0.0544572792500721,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,y
Abies magnifica,7,svm,max_sens_spec,0.19940519,2013,5994,0.8966946956859627,0.01732931645384076,0.8582684227899569,0.1039245233706395,0.7821871230900528,0.0901000276387776,0.6490634590686022,0.12220404332658497,1.2981269181372044,0.24440808665316993,0.10330530431403732,0.01732931645384076,0.7549631184759196,0.11033567965804213,0.925980713382095,0.03445279501964841,0.8726479694471272,0.1349830888405859,0.846603465259564,0.05812267536850406,NA,NA,NA,NA,NA,NA,9,0.1,NA,NA,y
Achillea millefolium,1,meanw,max_sens_spec,0.30496939,2269,10046,0.6133753674878781,0.10235839012400384,0.7730767129158345,0.112734762453326,0.4987735169067843,0.10291861149630076,0.33694629681257415,0.09149721264106787,0.6738925936251483,0.18299442528213575,0.3866246325121219,0.10235839012400384,0.3864520804037126,0.04096865929332036,0.7504062462812249,0.03692666101895511,0.935490520130509,0.06499131479534741,0.706789302511733,0.02364251013857637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Achillea millefolium,1,meanthr,max_sens_spec,0.25509529,2269,10046,0.6702962896134106,0.07647587090719783,0.7211058923730991,0.0797269524253451,0.4890169532030696,0.13001558451093406,0.33095467664579425,0.1134659343299421,0.6619093532915885,0.2269318686598842,0.32970371038658947,0.07647587090719783,0.39140218198650967,0.0559238510291053,0.7423086685564182,0.03812884476839963,0.911327075283724,0.1023495615771986,0.7467473154330974,0.03477549056090803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Achillea millefolium,1,mean,max_sens_spec,0.29940513,2269,10046,0.6135615183064521,0.09640659619597508,0.7712125666013008,0.10805603935562888,0.4963513981335259,0.10608764730036684,0.3350639495534542,0.09389603189159698,0.6701278991069084,0.18779206378319396,0.38643848169354794,0.09640659619597512,0.3847740849077529,0.04318232400701301,0.7492955130695402,0.03683293124511724,0.9324096082774108,0.06832176749842155,0.7065942058112765,0.02340376008075524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
Achillea millefolium,1,meansup,max_sens_spec,0.31631502,2269,10046,0.7256853315827589,0.12436492152545602,0.6809073799146148,0.1043572060021736,0.5005117698425516,0.11381565471481243,0.33950702428645285,0.10052083207237168,0.6790140485729057,0.20104166414474336,0.27431466841724106,0.12436492152545602,0.4065927114973737,0.04148262526944355,0.7572513391256763,0.03923837374644459,0.93944273153318,0.05648479376956616,0.7091721268636537,0.02593700430173135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y
