Table 1. Data Dictionary ,,,,,,,
variable name,variable,,,,,,
species,,,,,,,
model,"SDM consensus approach (mean, meansup, meanthr, meanw, median)",,,,,,
rcp,Representative Concentration Pathway (RCP) (rcp45 or rcp85),,,,,,
gcm,Global Climate Model (GCM); CNRM-CM5 (cnrm) or HadGEM2-ES (hades),,,,,,
dispersal,dispersal assumption (full or null),,,,,,
year,future projection time period (2055 or 2085),,,,,,
hs_change,change in habitat suitability proportional to currently suitable habitat,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Table 2. Data,,,,,,,
species,model,rcp,gcm,dispersal,year,hs_change,sd_hsc
Abies magnifica,median,rcp45,hades,null,2055,0.0618,0.2135
Abies magnifica,median,rcp45,hades,full,2055,0.9282,0.5651
Abies magnifica,median,rcp45,hades,null,2085,-0.0519,0.2135
Abies magnifica,median,rcp45,hades,full,2085,0.5536,0.5651
Abies magnifica,median,rcp85,cnrm,null,2055,0.1665,0.2135
Abies magnifica,median,rcp85,cnrm,full,2055,1.4651,0.5651
Abies magnifica,median,rcp85,cnrm,null,2085,-0.2463,0.2135
Abies magnifica,median,rcp85,cnrm,full,2085,0.2715,0.5651
Abies magnifica,median,rcp85,hades,null,2055,-0.246,0.2135
Abies magnifica,median,rcp85,hades,full,2055,0.2543,0.5651
Abies magnifica,median,rcp85,hades,null,2085,-0.4282,0.2135
Abies magnifica,median,rcp85,hades,full,2085,-0.1416,0.5651
Adenostoma sparsifolium,mean,rcp45,cnrm,null,2055,-0.1618,0.1644
Adenostoma sparsifolium,mean,rcp45,cnrm,full,2055,4.6953,3.4551
Adenostoma sparsifolium,mean,rcp45,cnrm,null,2085,-0.261,0.1644
Adenostoma sparsifolium,mean,rcp45,cnrm,full,2085,3.7762,3.4551
Adenostoma sparsifolium,mean,rcp45,hades,null,2055,-0.0724,0.1644
Adenostoma sparsifolium,mean,rcp45,hades,full,2055,3.3671,3.4551
Adenostoma sparsifolium,mean,rcp45,hades,null,2085,-0.3958,0.1644
Adenostoma sparsifolium,mean,rcp45,hades,full,2085,2.4159,3.4551
Adenostoma sparsifolium,mean,rcp85,cnrm,null,2055,-0.1161,0.1644
Adenostoma sparsifolium,mean,rcp85,cnrm,full,2055,5.2152,3.4551
Adenostoma sparsifolium,mean,rcp85,cnrm,null,2085,-0.0141,0.1644
Adenostoma sparsifolium,mean,rcp85,cnrm,full,2085,12.1096,3.4551
Adenostoma sparsifolium,mean,rcp85,hades,null,2055,-0.2936,0.1644
Adenostoma sparsifolium,mean,rcp85,hades,full,2055,1.8124,3.4551
Adenostoma sparsifolium,mean,rcp85,hades,null,2085,-0.4777,0.1644
Adenostoma sparsifolium,mean,rcp85,hades,full,2085,4.8391,3.4551
Adenostoma sparsifolium,meansup,rcp45,cnrm,null,2055,-0.2853,0.1644
Adenostoma sparsifolium,meansup,rcp45,cnrm,full,2055,7.8357,3.4551
Adenostoma sparsifolium,meansup,rcp45,cnrm,null,2085,-0.3648,0.1644
Adenostoma sparsifolium,meansup,rcp45,cnrm,full,2085,7.0411,3.4551
Adenostoma sparsifolium,meansup,rcp45,hades,null,2055,-0.1769,0.1644
Adenostoma sparsifolium,meansup,rcp45,hades,full,2055,6.28,3.4551
Adenostoma sparsifolium,meansup,rcp45,hades,null,2085,-0.4806,0.1644
Adenostoma sparsifolium,meansup,rcp45,hades,full,2085,5.817,3.4551
Adenostoma sparsifolium,meansup,rcp85,cnrm,null,2055,-0.1841,0.1644
Adenostoma sparsifolium,meansup,rcp85,cnrm,full,2055,8.8074,3.4551
Adenostoma sparsifolium,meansup,rcp85,cnrm,null,2085,-0.103,0.1644
Adenostoma sparsifolium,meansup,rcp85,cnrm,full,2085,16.5263,3.4551
Adenostoma sparsifolium,meansup,rcp85,hades,null,2055,-0.2955,0.1644
Adenostoma sparsifolium,meansup,rcp85,hades,full,2055,4.4677,3.4551
Adenostoma sparsifolium,meansup,rcp85,hades,null,2085,-0.5509,0.1644
Adenostoma sparsifolium,meansup,rcp85,hades,full,2085,8.5853,3.4551
Adenostoma sparsifolium,meanthr,rcp45,cnrm,null,2055,-0.2287,0.1644
Adenostoma sparsifolium,meanthr,rcp45,cnrm,full,2055,3.1852,3.4551
Adenostoma sparsifolium,meanthr,rcp45,cnrm,null,2085,-0.3024,0.1644
Adenostoma sparsifolium,meanthr,rcp45,cnrm,full,2085,2.2642,3.4551
Adenostoma sparsifolium,meanthr,rcp45,hades,null,2055,-0.1132,0.1644
Adenostoma sparsifolium,meanthr,rcp45,hades,full,2055,2.3992,3.4551
Adenostoma sparsifolium,meanthr,rcp45,hades,null,2085,-0.4327,0.1644
Adenostoma sparsifolium,meanthr,rcp45,hades,full,2085,1.4456,3.4551
Adenostoma sparsifolium,meanthr,rcp85,cnrm,null,2055,-0.1512,0.1644
Adenostoma sparsifolium,meanthr,rcp85,cnrm,full,2055,3.5564,3.4551
Adenostoma sparsifolium,meanthr,rcp85,cnrm,null,2085,-0.1073,0.1644
Adenostoma sparsifolium,meanthr,rcp85,cnrm,full,2085,8.9579,3.4551
Adenostoma sparsifolium,meanthr,rcp85,hades,null,2055,-0.3221,0.1644
Adenostoma sparsifolium,meanthr,rcp85,hades,full,2055,1.227,3.4551
Adenostoma sparsifolium,meanthr,rcp85,hades,null,2085,-0.5362,0.1644
Adenostoma sparsifolium,meanthr,rcp85,hades,full,2085,3.0116,3.4551
Adenostoma sparsifolium,meanw,rcp45,cnrm,null,2055,-0.1775,0.1644
Adenostoma sparsifolium,meanw,rcp45,cnrm,full,2055,5.1964,3.4551
Adenostoma sparsifolium,meanw,rcp45,cnrm,null,2085,-0.2778,0.1644
Adenostoma sparsifolium,meanw,rcp45,cnrm,full,2085,4.2605,3.4551
Adenostoma sparsifolium,meanw,rcp45,hades,null,2055,-0.0866,0.1644
Adenostoma sparsifolium,meanw,rcp45,hades,full,2055,3.7801,3.4551
Adenostoma sparsifolium,meanw,rcp45,hades,null,2085,-0.4102,0.1644
Adenostoma sparsifolium,meanw,rcp45,hades,full,2085,2.838,3.4551
Adenostoma sparsifolium,meanw,rcp85,cnrm,null,2055,-0.1253,0.1644
Adenostoma sparsifolium,meanw,rcp85,cnrm,full,2055,5.7613,3.4551
Adenostoma sparsifolium,meanw,rcp85,cnrm,null,2085,-0.0188,0.1644
Adenostoma sparsifolium,meanw,rcp85,cnrm,full,2085,12.9014,3.4551
Adenostoma sparsifolium,meanw,rcp85,hades,null,2055,-0.2938,0.1644
Adenostoma sparsifolium,meanw,rcp85,hades,full,2055,2.0826,3.4551
Adenostoma sparsifolium,meanw,rcp85,hades,null,2085,-0.4881,0.1644
Adenostoma sparsifolium,meanw,rcp85,hades,full,2085,5.3529,3.4551
Adenostoma sparsifolium,median,rcp45,cnrm,null,2055,-0.1208,0.1644
Adenostoma sparsifolium,median,rcp45,cnrm,full,2055,3.0774,3.4551
Adenostoma sparsifolium,median,rcp45,cnrm,null,2085,-0.2307,0.1644
Adenostoma sparsifolium,median,rcp45,cnrm,full,2085,2.064,3.4551
Adenostoma sparsifolium,median,rcp45,hades,null,2055,-0.0193,0.1644
Adenostoma sparsifolium,median,rcp45,hades,full,2055,2.2276,3.4551
Adenostoma sparsifolium,median,rcp45,hades,null,2085,-0.3891,0.1644
Adenostoma sparsifolium,median,rcp45,hades,full,2085,1.1961,3.4551
Adenostoma sparsifolium,median,rcp85,cnrm,null,2055,-0.0722,0.1644
Adenostoma sparsifolium,median,rcp85,cnrm,full,2055,3.3465,3.4551
Adenostoma sparsifolium,median,rcp85,cnrm,null,2085,0.0987,0.1644
Adenostoma sparsifolium,median,rcp85,cnrm,full,2085,8.6131,3.4551
Adenostoma sparsifolium,median,rcp85,hades,null,2055,-0.326,0.1644
Adenostoma sparsifolium,median,rcp85,hades,full,2055,0.9332,3.4551
Adenostoma sparsifolium,median,rcp85,hades,null,2085,-0.5111,0.1644
Adenostoma sparsifolium,median,rcp85,hades,full,2085,2.1603,3.4551
Aesculus californica,mean,rcp45,cnrm,null,2055,-0.4127,0.1736
