sp,model,rcp,scen,dispersal,year,hs_change,area_km2,sd_hsc,sd_area
Abies magnifica,meansup,rcp85,cnrm,fd_change_prop,2085,0.24514977288528975,17577.13343829336,0.5650998725553985,8122.181437028923
Abies magnifica,meansup,rcp85,hades,nd_change_prop,2055,-0.23176140181427807,10844.825776635214,0.21352453080620093,3069.0574965636565
Abies magnifica,meansup,rcp85,hades,fd_change_prop,2055,0.340836535406705,18927.89382852326,0.5650998725553985,8122.181437028923
Abies magnifica,meansup,rcp85,hades,nd_change_prop,2085,-0.4101767048312549,8326.229494602358,0.21352453080620093,3069.0574965636565
Abies magnifica,meansup,rcp85,hades,fd_change_prop,2085,-0.1119839881838287,12535.661391854028,0.5650998725553985,8122.181437028923
Abies magnifica,meanthr,rcp45,cnrm,nd_change_prop,2055,0.1875637421283317,16276.799209050609,0.21352453080620093,3069.0574965636565
Abies magnifica,meanthr,rcp45,cnrm,fd_change_prop,2055,1.3614178901536436,32365.694137651797,0.5650998725553985,8122.181437028923
Abies magnifica,meanthr,rcp45,cnrm,nd_change_prop,2085,0.1177039593007676,15319.298051399684,0.21352453080620093,3069.0574965636565
Abies magnifica,meanthr,rcp45,cnrm,fd_change_prop,2085,1.034986605559979,27891.61305349778,0.5650998725553985,8122.181437028923
Abies magnifica,meanthr,rcp45,hades,nd_change_prop,2055,0.05876024871181157,14511.413044592908,0.21352453080620093,3069.0574965636565
Abies magnifica,meanthr,rcp45,hades,fd_change_prop,2055,0.8485832992524798,25336.76140129699,0.5650998725553985,8122.181437028923
Abies magnifica,meanthr,rcp45,hades,nd_change_prop,2085,-0.06257267622701211,12848.41880974313,0.21352453080620093,3069.0574965636565
Abies magnifica,meanthr,rcp45,hades,fd_change_prop,2085,0.48155715735819327,20306.285474691736,0.5650998725553985,8122.181437028923
Abies magnifica,meanthr,rcp85,cnrm,nd_change_prop,2055,0.16420541402941682,15956.648969667434,0.21352453080620093,3069.0574965636565
Abies magnifica,meanthr,rcp85,cnrm,fd_change_prop,2055,1.3523814286741696,32241.84001189505,0.5650998725553985,8122.181437028923
Abies magnifica,meanthr,rcp85,cnrm,nd_change_prop,2085,-0.28291418568839943,9828.408700227204,0.21352453080620093,3069.0574965636565
Abies magnifica,meanthr,rcp85,cnrm,fd_change_prop,2085,0.15999580907288485,15898.951944913128,0.5650998725553985,8122.181437028923
