species,model,unres,occ,ratio
Ceanothus greggii,median,23635.9854138038,10182.5248849905,0.430806023388548
Ceanothus megacarpus,mean,21091.8451986796,2818.18192949847,0.13361476451927
Ceanothus megacarpus,meansup,7397.18430995069,1535.06393205049,0.207520032992219
Ceanothus megacarpus,meanthr,12212.9035548937,3555.12892032098,0.291096126677954
Ceanothus megacarpus,meanw,42809.4281354223,2615.08224175832,0.0610865960060442
Ceanothus megacarpus,median,11388.829796733,2588.98444240696,0.227326642738101
Ceanothus oliganthus,mean,102662.84999109,29117.0539108178,0.283618211586226
Ceanothus oliganthus,meansup,84458.3275560357,20602.4582725636,0.243936375118184
Ceanothus oliganthus,meanthr,81276.830395314,22042.8293212257,0.271206802898364
Ceanothus oliganthus,meanw,141887.592223518,28075.3839050069,0.1978706063373
Ceanothus oliganthus,median,65983.2044692475,19910.1279072083,0.301745392139719
Ceanothus tomentosus,mean,134114.314338251,6967.18209247844,0.051949578438782
Ceanothus tomentosus,meansup,90262.8284060417,5962.98491668012,0.0660624647153311
Ceanothus tomentosus,meanthr,73942.0386109245,5820.39332226851,0.0787156187685713
Ceanothus tomentosus,meanw,115330.088418793,6727.77891547051,0.0583349844581774
Ceanothus tomentosus,median,62207.6117655617,7277.2968745243,0.116984026037679
Ceanothus verrucosus,mean,221204.000895057,1749.81136271576,0.00791039653729363
Ceanothus verrucosus,meansup,148531.442958464,2391.25532391802,0.0160993206306272
Ceanothus verrucosus,meanthr,67921.5145768936,1600.22126932182,0.0235598584526589
Ceanothus verrucosus,meanw,191294.708484378,1445.81998116663,0.00755807618842057
Ceanothus verrucosus,median,130868.716447531,1238.63901167553,0.00946474486262832
Chamaebatia foliolosa,mean,109693.449742869,17344.9356042934,0.15812189009418
Chamaebatia foliolosa,meansup,95330.8354892911,15279.8262597279,0.160282097406398
Chamaebatia foliolosa,meanthr,72746.5622764459,16729.2231253311,0.229965823838631
Chamaebatia foliolosa,meanw,166475.948979917,17334.6568128851,0.104127094148454
Chamaebatia foliolosa,median,85596.2406730725,20502.6670461516,0.23952765781455
Croton setiger,mean,163258.020178783,114868.981506252,0.703603911038857
Croton setiger,meansup,146694.329901209,93810.4892304827,0.639496354723862
Croton setiger,meanthr,122694.372210127,105532.816299642,0.860127603235997
Croton setiger,meanw,195611.088639511,117379.446941892,0.600065404053902
Croton setiger,median,130406.107958437,121273.622721358,0.929968884279644
Delphinium hesperium,mean,142214.624208785,26580.8651769381,0.186906693491063
Delphinium hesperium,meansup,131768.881949048,74964.5743021406,0.568909542171933
Delphinium hesperium,meanthr,74850.1565111472,10929.7460421757,0.146021685880482
Delphinium hesperium,meanw,132870.217562768,28950.6954857784,0.217887018000119
Delphinium hesperium,median,81083.8830230536,56339.9321411805,0.69483515145867
Dichelostemma capitatum,mean,169419.532709481,154359.252754152,0.911106590164226
Dichelostemma capitatum,meansup,170218.884899392,144446.971641685,0.848595452420339
Dichelostemma capitatum,meanthr,159133.988403446,149549.089769067,0.939768375502043
Dichelostemma capitatum,meanw,179867.20963978,153356.366600447,0.852608804615214
Dichelostemma capitatum,median,166273.67428776,157928.949440659,0.949813313004327
Encelia californica,mean,50446.7269314973,10859.1887135052,0.215260520831235
Encelia californica,meansup,38173.2516386173,11654.4540601977,0.305304200190473
Encelia californica,meanthr,30493.8843114276,9193.71246225386,0.301493649295722
Encelia californica,meanw,56031.537217879,10889.4422633253,0.194344877974374
Encelia californica,median,38343.5508677743,12250.8557537367,0.319502379839131
Ericameria ericoides,mean,73688.8695619517,16742.2444038891,0.227201808134857
Ericameria ericoides,meansup,28191.6265659787,14209.1164823642,0.504019037323359
Ericameria ericoides,meanthr,38529.9996621044,12835.6775919876,0.333134640657989
Ericameria ericoides,meanw,50068.60629749,16200.1592662257,0.323559221320643
Ericameria ericoides,median,19347.1665406934,7035.44701588934,0.36364224193199
Erigeron petrophilus,mean,125308.440580723,70.0568177626169,0.000559075010733112
Erigeron petrophilus,meansup,88759.755416572,9317.69170603458,0.104976536520457
Erigeron petrophilus,meanthr,27703.042837041,13.8509889673573,0.000499980780047654
Erigeron petrophilus,meanw,190917.327327402,70.4942174163394,0.000369239494409272
Erigeron petrophilus,median,115139.976379886,70.0568177626169,0.000608449123973032
Eriodictyon trichocalyx,mean,110870.387059997,16705.0066453181,0.150671492075502
Eriodictyon trichocalyx,meansup,101175.182116981,13609.0061291373,0.1345093316798
Eriodictyon trichocalyx,meanthr,43454.9891443933,15267.0475660422,0.351330143365413
Eriodictyon trichocalyx,meanw,151845.101507259,16230.863824479,0.106890928079778
Eriodictyon trichocalyx,median,39877.1115638631,18805.9136929751,0.471596686807606
Eriogonum fasciculatum,mean,82008.7077293674,74927.7791849948,0.913656381859595
Eriogonum fasciculatum,meansup,86849.1977166545,58130.5736441508,0.669327698729029
Eriogonum fasciculatum,meanthr,73318.9417599632,53241.2969177119,0.726160193255613
